region_id,region_name,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04
UNKNOWN,Unknown,100,96,90,90,94,94,63
EC,Eastern Cape,12,12,12,15,17,21,25
FS,Free State,72,72,74,76,84,84,85
GP,Gauteng Province,584,618,633,645,663,672,693
KZN,Kwa-Zulu Natal,167,171,179,186,206,215,232
LP,Limpopo,12,11,14,14,16,16,18
MP,Mapumalanga,11,11,12,12,13,13,18
NW,North-West Province,6,3,6,7,7,7,11
NC,Northern Cape,6,8,8,9,9,9,7
WC,Western Cape,310,324,325,326,353,374,433
CPT,City of Cape Town,256,,289,305,321,333,347
CT Eastern SD,Eastern,10,,14,15,17,17,19
CT Khayelitsha SD,Khayelitsha,1,,1,1,2,2,2
CT Klipfontein SD,Klipfontein,5,,7,8,9,12,15
CT Mitchells Plain SD,Mitchells Plain,5,,5,6,7,7,7
CT Northern SD,Northern,16,,17,20,21,23,24
CT Southern SD,Southern,98,,104,107,110,113,116
CT Tygerberg SD,Tygerberg,15,,23,25,31,32,34
CT Western SD,Western,106,,118,123,124,127,130
WC011,Matzikama,0,,0,0,0,0,0
WC012,Cederberg,0,,0,0,0,0,0
WC013,Bergrivier,0,,0,0,0,0,0
WC014,Saldanha Bay,0,,1,1,1,1,1
WC015,Swartland,0,,1,1,1,1,2
WC022,Witzenberg,0,,0,0,0,0,0
WC023,Drakenstein,6,,6,6,6,6,6
WC024,Stellenbosch,8,,11,11,11,15,16
WC025,Breede Valley,3,,4,4,4,5,5
WC026,Langeberg,0,,1,1,1,1,1
WC031,Theewaterskloof,1,,1,1,1,1,1
WC032,Overstrand,5,,5,7,7,9,9
WC033,Cape Agulhas,0,,0,0,0,0,0
WC034,Swellendam,1,,0,0,0,0,0
WC041,Kannaland,0,,0,0,0,0,0
WC042,Hessequa,3,,3,3,5,5,5
WC043,Mossel Bay,3,,5,6,9,10,11
WC044,George,6,,8,10,10,12,12
WC045,Oudtshoorn,0,,0,1,1,2,2
WC047,Bitou,9,,4,4,5,5,5
WC048,Knysna,0,,6,6,7,8,10
WC051,Laingsburg,0,,0,0,0,0,0
WC052,Prince Albert,0,,0,0,0,0,0
WC053,Beaufort West,0,,0,0,0,0,0
